Segment ID,Literal Summary,Conceptual Extraction,Terminology Indexing,Structural Mapping,Data Analysis,Comparative Analysis,Practical Application,Cross-Referencing,Full Text
Segment_491,"6. Here, we will address the issue of whether  the above tasks involve non-declarative or pro-  cedural memory, and thus involve different   memory systems from those underlying episodic   and semantic memory. This issue has been   addressed in various ways. However, we will   mostly consider resear",Explores how emotion influences cognition.,"recognition, perception, emotion",Nested under Chapter on awareness,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on attention,Used in agent decision-making systems for adaptive learning.,Related to Segment_426,"6.
Here, we will address the issue of whether 
the above tasks involve non-declarative or pro-

cedural memory, and thus involve different 

memory systems from those underlying episodic 

and semantic memory. This issue has been 

addressed in various ways. However, we will 

mostly consider research on skill learning in 

amnesic patients. The rationale for doing this 

is simple: if amnesic patients have essentially 

intact skill learning but severely impaired 

declarative memory that would provide evidence 

that different memory systems are involved.
We will shortly turn to the relevant evidence.  
Before doing so, however, we need to consider 

an important issue. It is easy to imagine that 

some tasks involve only non-declarative or 

procedural memory, whereas others involve 

declarative memory. In fact, matters are rarely 

that simple (see Chapter 6). For example, 

consider the probabilistic classi˚
 cation task. 
Participants predict whether the weather will 

be sunny or rainy on the basis of various cues. 

Reber, Knowlton, and Squire (1996) found that 

amnesics learned this task as rapidly as healthy 

controls, suggesting that the task involves 

procedural memory.
Foerde, Knowlton, and Poldrack (2006) 
obtained evidence suggesting that learning on 

the probabilistic classi˚ cation task can depend 

on either procedural or declarative memory. 

Participants performed the task on its own or 

with a demanding secondary task. Performance 

was similar in the two conditions. However, 

important differences emerged between the 

conditions when the fMRI data were considered. 

Task performance in the dual-task condition 

correlated with activity in the striatum (part of 

the basal ganglia), a part of the brain associated 

with procedural learning and memory. In 

contrast, task performance in the single-task 

performance correlated with activity in the 

medial temporal lobe, an area associated with 
9781841695402_4_007.indd   277
978184169540"
Segment_492,"2_4_007.indd   277 12/21/09   2:17:50 PM  12/21/09   2:17:50 PM  278  COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK in spite of very poor declarative memory. That  provides reasonable evidence that there are   major differences between the two forms of   memory. Shortly, we will consider evidence   ind",Explores how attention influences cognition.,"emotion, memory, attention",Nested under Chapter on memory,Observed data trends suggest strong effect in recognition,Aligned with contemporary studies on awareness,Used in agent decision-making systems for adaptive learning.,Related to Segment_247,"2_4_007.indd   277
12/21/09   2:17:50 PM

12/21/09   2:17:50 PM

278
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
in spite of very poor declarative memory. That 
provides reasonable evidence that there are 

major differences between the two forms of 

memory. Shortly, we will consider evidence 

indicating that the brain areas associated with 

procedural memory differ from those associated 

with declarative memory. However, we must not 

think of declarative and procedural memory 

as being entirely separate. Brown and Robertson 

(2007) gave participants a procedural learning 

task (the serial reaction time task) and a declar-

ative learning task (free recall of a word list). 

Procedural memory was disrupted when declar-

ative learning 
occurred during the retention 
interval. In a second experiment, declarative 

memory was disrupted when procedural learning  

occurred during the retention interval. Thus, 

there can be 
interactions
 between the two 

memory systems.
BEYOND DECLARATIVE 
AND NON-DECLARATIVE 

MEMORY: AMNESIA
Most memory researchers have argued that 
there is a very important distinction between 

declarative/explicit memory and non-declarative/

implicit memory. As we have seen, this distinction 

has proved very useful in accounting for 
most 

of the ˚ ndings (especially those from 
amnesic  
patients). However, there are good grounds for 

arguing that we need to move beyond that 

distinction. We will focus our discussion on 

amnesia, but research on healthy individuals also 

suggests that the distinction 
between declarative 
and non-declarative memory is limited (see Reder,  

Park, & Kieffaber, 2009, for a review).
According to the traditional viewpoint, 
amnesic patients should have intact performance 

on declarative memory tasks and impaired 

performance on non-declarative tasks. There 

is an alternative viewpoint that has attracted 

increasing interest (e.g., Reder et al., 2009; Ryan,  

Althoff, Whitlow, & Cohen, 2000; Scha"
Segment_493,"cter   et al., 1995). According to Reder et al. (2009,   p. 24), ﬁThe critical feature that distinguishes  and Hartman (1989) found that amnesic patients   and healthy controls showed comparable per-  formance on the serial reaction time task during   learning and also on a second test one week   la",Explores how awareness influences cognition.,"perception, emotion, awareness",Nested under Chapter on recognition,Observed data trends suggest strong effect in memory,Aligned with contemporary studies on recognition,Used in agent decision-making systems for adaptive learning.,Related to Segment_265,"cter 

et al., 1995). According to Reder et al. (2009, 

p. 24), ﬁThe critical feature that distinguishes 
and Hartman (1989) found that amnesic patients 

and healthy controls showed comparable per-

formance on the serial reaction time task during 

learning and also on a second test one week 

later. Vandenberghe et al. (2006) obtained more 

complex ˚ ndings. They had a deterministic 

condition in which there was a repeating sequence 

and a probabilistic condition in which there was 

a repeating sequence but with some deviations.  

Amnesic patients failed to show skill learning 

in the probabilistic condition, but exhibited 

some implicit learning in the deterministic 

condition. Thus, amnesic patients do not always  

show reasonable levels of skill learning.
Mirror tracing involves tracing a ˚
 gure 
with a stylus, with the ˚
 gure to be traced being 
seen re˜
 ected in a mirror. Performance on this 
task improves with practice in healthy particip-

ants, and the same is true of amnesic patients 

(e.g., Milner, 1962). The rate of learning is 

often similar in 
both groups.
In mirror reading we can distinguish between  
general
 improvement in speed of 
reading pro-
duced by practice and more 
speciÞ
 c
 improvement 
produced by re-reading the same 
groups of words 
or sentences. Cohen and 
Squire (1980) 
reported  
general and speci˚ c improvement in reading 

mirror-
reversed script in amnesics, and there 

was evidence of improvement even after a delay 

of three months. Martone, Butters, Payne, Becker, 

and Sax (1984) also obtained evidence of general 

and speci˚ c improvement in amnesics.
Cavaco, Anderson, Allen, Castro-Caldas, 
and Damasio (2004) pointed out that most 

tasks used to assess skill learning in amnesics 

require learning far removed from that occurring 

in everyday life. Accordingly, Cavaco et al. used 

˚
 ve skill-learning tasks requiring skills similar 
to those needed in the real world. For example, 

there was a weaving tas"
Segment_494,"k and a control stick task   requiring movements similar to those involved   in operating machinery. Amnesic patients showed   comparable rates of learning to  those of healthy  individuals on all ˚ve tasks, in spite of having   signi˚  cantly impaired declarative memory for the  tasks assessed by r",Explores how attention influences cognition.,"emotion, awareness, attention",Nested under Chapter on recognition,Observed data trends suggest strong effect in memory,Aligned with contemporary studies on emotion,Used in agent decision-making systems for adaptive learning.,Related to Segment_1044,"k and a control stick task 

requiring movements similar to those involved 

in operating machinery. Amnesic patients showed 

comparable rates of learning to 
those of healthy 
individuals on all ˚ve tasks, in spite of having 

signi˚
 cantly impaired declarative memory for the 
tasks assessed by recall and recognition tests.
In sum, amnesic patients show reasonably 
good skill or procedural learning and memory 
9781841695402_4_007.indd   278
9781841695402_4_007.indd   278
12/21/09   2:17:50 PM

12/21/09   2:17:50 PM

7 LONG-TERM MEMOR
Y SYSTEMS 
279
more with practice on the old displays than on 
the new ones. This involved implicit learning, 

because they had no ability to discriminate old 

displays from new ones on a recognition test. The 

amnesic patients showed general improvement 

with practice, and thus some implicit learning. 

However, there was no difference between their 

performance on new and old displays. This failure 

of implicit learning probably occurred because 

the amnesic patients could not bind the arrange-

ment of the distractors to the location of the 

target in old displays.
There have been some failures to replicate 
the above ˚ ndings (see Reder et al., 2009, for 

a review), perhaps because amnesic patients 

differ so much in their precise brain damage and 

memory impairments. Park, Quinlan, Thornton,  

and Reder (2004) argued that a useful approach 

is to use drugs that mimic the effects of amnesia. 

They administered midazolam, a benzodiazepine 

that impairs performance on explicit memory 

tasks but not implicit tasks (e.g., repetition 

priming). They carried out a study very similar 

to that of Chun and Phelps (1999), and obtained 

similar ˚ ndings. Their key result was that healthy 

individuals given midazolam failed to perform 

better on old displays than new ones, in con-

trast to individuals given a placebo (saline) (see 

Figure 7.9). Thus, midazolam-induced amnesia 

impairs implicit learning because it disr"
Segment_495,upts   binding with old displays. A study by Huppert and Piercy (1976) on  declarative memory supports the binding hypo-  thesis. They presented large numbers of pictures   on day 1 and on day 2. Some of those presented   on day 2 had been presented on day 1 and   others had not. Ten minutes after t,Explores how recognition influences cognition.,"recognition, perception, attention",Nested under Chapter on perception,Observed data trends suggest strong effect in perception,Aligned with contemporary studies on awareness,Used in agent decision-making systems for adaptive learning.,Related to Segment_147,"upts 

binding with old displays.
A study by Huppert and Piercy (1976) on 
declarative memory supports the binding hypo-

thesis. They presented large numbers of pictures 

on day 1 and on day 2. Some of those presented 

on day 2 had been presented on day 1 and 

others had not. Ten minutes after the day-2 

presentation, there was a recognition-memory 

test, on which participants decided which pictures 

had been presented on day 2. Successful per-

formance on this test required binding of picture  

and temporal context at the time of learning. 

Healthy controls performed much better than 

amnesic patients in correctly identifying day-2 

pictures and rejecting pictures presented only 

on day 1 (see Figure 7.10a).Thus, amnesic pati-

ents were at a great disadvantage when binding 

was necessary for memory.
tasks that are impaired from those that are 

spared under amnesia hinges on whether the 

task requires the formation of an association 

(or binding) between the two concepts.ﬂ We 

will brie˜ y consider research relevant to adju-

dicating between these two viewpoints. Before 

we do so, note that the binding-of-item-and-

context model (Diana et al., 2007; discussed 

earlier in the chapter) identi˚ es the hippocampus 

as of central importance in the binding process. 

The relevance of that model here is that amnesic 

patients typically have extensive damage to the 

hippocampus.
Evidence
Earlier in the chapter we discussed a study by 

Schacter et al. (1995) on perceptual priming. 

Amnesic patients and healthy controls iden-

ti˚
 ed words passed through an auditory ˚
 lter 
having previously heard them spoken by the 

same voice or one out of ˚ ve different voices. 

The measure of perceptual priming was the 

extent to which participants were better at 

identifying words spoken in the same voice 

than those spoken in a different voice. Since six  

different voices were used altogether, successful 

perceptual priming required binding or asso-"
Segment_496,"ciating the voices with the words when the   words were presented initially. In spite of the   fact that Schacter et al. used a non-declarative   memory task, amnesic patients showed no   better performance for words presented in the   same voice than in a different voice (see Figure   7.8b). This",Explores how recognition influences cognition.,"recognition, awareness, emotion",Nested under Chapter on attention,Observed data trends suggest strong effect in awareness,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_879,"

ciating the voices with the words when the 

words were presented initially. In spite of the 

fact that Schacter et al. used a non-declarative 

memory task, amnesic patients showed no 

better performance for words presented in the 

same voice than in a different voice (see Figure 

7.8b). This ˚ nding is inconsistent with the 

traditional viewpoint but is as predicted by the 

binding hypothesis.
More evidence that amnesic patients some-
times have de˚ cient implicit memory was reported 

by Chun and Phelps (1999). Amnesic patients 

and healthy controls carried out a visual search 

task in which the target was a rotated T and the  

distractors were rotated Ls. Half the displays 

were new and the remainder were old or repeated. 

There were two main ˚
 ndings with the healthy 
controls. First, their performance improved 

progressively throughout the experiment (skill 

learning). Second, they improved signi˚
 cantly 
9781841695402_4_007.indd   279
9781841695402_4_007.indd   279
12/21/09   2:17:50 PM

12/21/09   2:17:50 PM

280
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
declarative memory tasks successfully provided 
that binding is not required.
Evaluation
Since declarative memory tasks generally require 

the formation of associations and non-declarative 

memory tasks do not, it is often hard to decide 

which viewpoint is preferable. However, there 
Huppert and Piercy (1976) also used 
a familiarity-based recognition memory test. 

Participants decided whether they had ever 

seen the pictures before. Here, no prior binding 

of picture and temporal context was necessary. 

On this test, the amnesic patients and healthy 

controls performed the task extremely well 

(see Figure 7.10b). Thus, as predicted by the 

binding hypothesis, amnesic patients can perform 
100
80
60
40
20
0
Ð20
Ð40
Ð60
Ð80
123456
Epoch
Contextual cuing (ms)
Saline
Midazolam
Figure 7.9 
The difference 
between visual sear
ch 
performance with old and 
new displays (i.e., contextu"
Segment_497,"al   cueing effect) as a function   of condition (Midazolam vs.   placebo/saline) and stage of   practice (epochs). From Park   et al. (2004), Copyright ©   2004 National Academy of   Sciences, USA. Reprinted   with permission. 100 90 80 70 60 50 40 30 20 10 0 Recognition percentage Day 2 recognitio",Explores how perception influences cognition.,"emotion, recognition, perception",Nested under Chapter on recognition,Observed data trends suggest strong effect in attention,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_835,"al 

cueing effect) as a function 

of condition (Midazolam vs. 

placebo/saline) and stage of 

practice (epochs). From Park 

et al. (2004), Copyright © 

2004 National Academy of 

Sciences, USA. Reprinted 

with permission.
100
90
80
70
60
50
40
30
20
10
0
Recognition percentage
Day 2 recognition
Day 1 only
pictures
(i.e. incorrect
recognition)
Day 2 only
pictures
Normal
controls
Korsakoff
patients
(a)
Ever seen recognition
Pictures not
seen before
(i.e. lack of
recognition
= correct)
Pictures
seen before
(b)
100
90
80

70

60

50
40
30

20

10
0
Recognition percentage
Normal
controls
Korsakoff
patients
Figure 7.10 
Recognition memory for pictures in Korsakoff patients and normal controls. Data from Huppert 
and Piercy (1976).
9781841695402_4_007.indd   280
9781841695402_4_007.indd   280
12/21/09   2:17:50 PM

12/21/09   2:17:50 PM

 
7 LONG-TERM MEMORY SYSTEMS 
281
different brain regions contribute to long-term 
memory, with an emphasis on the 
major
 brain 

areas associated with each memory system. As 

we will see, each memory system is associated 

with different brain areas. This strengthens the 

argument that the various memory systems are 

indeed somewhat separate. In what follows, 

we will discuss some of the evidence. The role 

of the anterior temporal lobes in semantic 

memory (e.g., Patterson et al., 2007), early visual 

areas in the occipital lobe in perceptual priming 

( Schacter et al., 2007), and left inferior temporal 

cortex in conceptual priming (e.g., Wig et al., 

2005) were discussed earlier in the chapter.
Medial temporal lobe and medial 
diencephalon
The medial temporal lobe including the hippo-
campal formation is of crucial importance 

in anterograde amnesia and in declarative 

memory generally. However, we have a prob-

lem because chronic alcoholics who develop 

Korsakoff™s syndrome have brain damage to 

the diencephalon including the mamillary bodies  

and various thalamic nuclei (see Figure 7.11). 

Aggleton (2008) arg"
Segment_498,"ued persuasively that tem-  poral lobe amnesia and diencephalic amnesia   both re˜ ect damage to the same integrated   brain system involving the temporal lobes and   the medial diencephalon. Aggleton pointed out  is increasing support for the binding hypothesis.    More speci˚ cally, we now have st",Explores how recognition influences cognition.,"emotion, recognition, awareness",Nested under Chapter on memory,Observed data trends suggest strong effect in memory,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_57,"ued persuasively that tem-

poral lobe amnesia and diencephalic amnesia 

both re˜ ect damage to the same integrated 

brain system involving the temporal lobes and 

the medial diencephalon. Aggleton pointed out 
is increasing support for the binding hypothesis.  

More speci˚ cally, we now have studies showing  

that amnesic patients sometimes fail to show 

non-declarative/implicit memory when binding 

of information (e.g., stimulus 
+
 context) is 
required (e.g., Chun & Phelps, 1999; Schacter 

et al., 1995). In addition, amnesic patients 

sometimes show essentially intact declarative/

explicit memory when binding of information 

is not required (e.g., Huppert & Piercy, 1976).
What is needed for the future? First, we 
need more research in which the predictions 

based on the traditional viewpoint differ from 

those based on the binding hypothesis. Second, 

we should look for tasks that differ more clearly 

in their requirements for binding than most of 

those used hitherto. Third, it is important to 

specify more precisely what is involved in the 

binding process.
LONG-TERM MEMORY AND 
THE BRAIN
Our understanding of long-term memory has 
been greatly enhanced by functional imaging 

studies and research on brain-damaged patients.  

It is clear that encoding and retrieval in long-

term memory involve several processes and are 

more complex than was previously thought. 

In this section, we will brie˜ y consider how 
Body of
fornix
Crus of
fornix
Corpus
callosum
Columns
of fornix
Precommissural fornix
Thalamus
Postcommisural
fornix
Entorhinal
Hippocampus
subiculum
Midbrain
nuclei (e.g. 
LC
)
PREFRONTAL
CORTEX
N.
ACC
DIAGONAL
BAND
HYPOTH
AT N
LD
SUM
MB
AC
SEPTUM
RE
Figure 7.11 
The main 
interconnected brain ar
eas 
involved in amnesia: AC 
=
 
anterior commissure; ATN 
=
 

anterior thalamic nuclei; 

HYPOTH 
=
 hypothalamus; 
LC 
=
 locus coeruleus; LD 
=
 
thalamic nucleus lateralis 

dorsalis; MB 
=
 mammillary 

bodies; RE 
=
 nucleus 

reunien"
Segment_499,s; SUM  =    supramammillary nucleus.   From Aggleton (2008). 9781841695402_4_007.indd   281 9781841695402_4_007.indd   281 12/21/09   2:17:50 PM  12/21/09   2:17:50 PM  282  COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK striatum.  Parkinson™s disease  is a progressive  disorder characterised by tremor,Explores how emotion influences cognition.,"memory, awareness, emotion",Nested under Chapter on recognition,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on attention,Used in agent decision-making systems for adaptive learning.,Related to Segment_665,"s; SUM 
=
 

supramammillary nucleus. 

From Aggleton (2008).
9781841695402_4_007.indd   281
9781841695402_4_007.indd   281
12/21/09   2:17:50 PM

12/21/09   2:17:50 PM

282
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
striatum. 
Parkinson™s disease
 is a progressive 
disorder characterised by tremor of the limbs, 
muscle rigidity, and mask-like facial expression. 

Siegert, Taylor, Weatherall, and Abernethy (2006) 

reported a meta-analysis of learning on the 

serial reaction time task (discussed above) by 

patients with Parkinson™s disease (see Chapter 6).  

Skill learning by Parkinson™s patients was con-

sistently slower than that by healthy controls.
Strong evidence that the basal ganglia are 
important in skill learning was reported by 

Brown, Jahanshahi, Limousin-Dowsey, Thomas, 

Quinn, and Rothwell (2003). They studied 

patients with 
Parkinson™s disease who had had 

posteroventral 
pallidotomy, a surgical form of 
treatment that disrupts the output of the basal 

ganglia to the 
frontal cortex. These patients 

showed no implicit learning at all on the serial  

reaction time task.
Not all the evidence indicates that Parkinson™s 
patients show de˚ cient procedural learning and 

memory. Osman, Wilkinson, Beigi, Castaneda, 

and Jahanshahi (2008) reviewed several studies 

in which Parkinson™s patients performed well 

on procedural learning tasks. In their own 

experiment, participants had to learn about 

and control a complex system (e.g., water-tank 

system). Patients with Parkinson™s disease showed 

the same level of procedural learning as healthy 

controls on this task, which suggests that the 

striatum is 
not needed for all forms of procedural 
learning 
and memory.
Neuroimaging studies have produced some-
what variable ˚ ndings (see Kelly & Garavan, 

2005, for a review). However, practice in skill 

learning is often associated with decreased 

activation in the prefrontal cortex but increased 

activation in the basal ganglia. It is lik"
Segment_500,ely that   the decreased activation in the prefrontal cortex   occurs because attentional and control processes  that the anterior thalamic nuclei and the mam-  millary bodies differ from the rest of the medial    diencephalon in that they both receive direct   inputs from the hippocampal formation,Explores how awareness influences cognition.,"perception, awareness, emotion",Nested under Chapter on awareness,Observed data trends suggest strong effect in awareness,Aligned with contemporary studies on emotion,Used in agent decision-making systems for adaptive learning.,Related to Segment_902,"ely that 

the decreased activation in the prefrontal cortex 

occurs because attentional and control processes 
that the anterior thalamic nuclei and the mam-

millary bodies differ from the rest of the medial  

diencephalon in that they both receive direct 

inputs from the hippocampal formation via the 

fornix (see Figure 7.11). Thus, these areas are 

likely to be of major importance within the 

hypothesised integrated system. Aggleton and 

Brown (1999) proposed that an ﬁextended hippo-

campal systemﬂ consisting of the hippocampus, 

fornix, mammillary bodies, and the anterior 

thalamic nuclei is crucial for episodic memory.
There is much support for the notion of an 
extended hippocampal system. Harding, Halliday, 

Caine, and Kril (2000) studied the brains of 

alcoholics with Korsakoff™s syndrome and those 

of alcoholics without amnesia. The only consistent 

difference between the two groups was that the 

Korsakoff patients had degeneration of the anter-

ior thalamic nuclei. There is also evidence for the 

importance of the fornix. Patients with 
benign  
brain tumours who suffer atrophy of the fornix  

as a consequence consistently exhibit clear 
signs 
of anterograde amnesia (Gilboa et al., 2006).
We have focused on anterograde amnesia 
in this section. However, the hippocampal for-

mation and medial temporal lobe are also very 

important in retrograde amnesia (Moscovitch 

et al., 2006). In addition, the hippocampus (and 

the prefrontal cortex) are of central importance in  

autobiographical memory (Cabeza & St. Jacques, 

2007; see Chapter 8).
Striatum and cerebellum
Which brain areas are involved in skill learning 

or procedural memory? Different types of skill 

learning involve different brain areas depending 

on characteristics of the task (e.g., auditory 

versus visual input). However, two brain areas 

are most closely associated with procedural 

memory: the striatum (part of the basal ganglia) 

in particular but also the cerebe"
Segment_501,"llum. The evid-  ence implicating those brain areas comes from   studies on brain-damaged patients and from   neuroimaging research. Much research has made use of brain- damaged patients suffering from Parkinson™s   disease, which is associated with damage to the  Parkinson™s disease:  it is a progr",Explores how awareness influences cognition.,"perception, memory, recognition",Nested under Chapter on recognition,Observed data trends suggest strong effect in recognition,Aligned with contemporary studies on memory,Used in agent decision-making systems for adaptive learning.,Related to Segment_212,"llum. The evid-

ence implicating those brain areas comes from 

studies on brain-damaged patients and from 

neuroimaging research.
Much research has made use of brain-
damaged patients suffering from Parkinson™s 

disease, which is associated with damage to the 
Parkinson™s disease:
 it is a progressive 
disorder involving damage to the basal ganglia; 

the symptoms include rigidity of the muscles, 

limb tremor, and mask-like facial expression.
KEY TERM
9781841695402_4_007.indd   282
9781841695402_4_007.indd   282
12/21/09   2:17:51 PM

12/21/09   2:17:51 PM

7 LONG-TERM MEMOR
Y SYSTEMS 
283
are important early in learning but become 
less 
so with extensive practice. Debaere et al. ( 20 04) 
found, during acquisition of a skill requiring co-

ordination of hand movements, that there were 

decreases in activation within 
the right dorso-

lateral prefrontal cortex, the right 
premotor cortex, 
and the bilateral superior parietal cortex. At the 

same time, there were increases in activation 

within the cerebellum and basal ganglia.
In sum, the striatum (and to a lesser extent 
the cerebellum) are important in procedural 

learning and memory. However, we must avoid 

oversimplifying a complex reality. The neuro-

imaging ˚ ndings indicate clearly that several 

other areas (e.g., the prefrontal cortex; the 

posterior parietal cortex) are also involved.
Prefrontal cortex
As discussed in Chapter 5, the prefrontal cortex 

is extremely important in most (or all) executive 

processes involving attentional control. As we 

have seen in this chapter, it is also of signi-

˚
 cance in long-term memory. Two relatively 
small regions on the lateral or outer surface of 

the frontal lobes are of special importance: the 

dorsolateral prefrontal cortex (roughly BA9 and 

B46) and the ventrolateral prefrontal cortex 

(roughly BA45 and BA47) (see Figure 1.4).
Dorsolateral prefrontal cortex
What is the role of dorsolateral prefrontal cortex  

in declarative memory? One i"
Segment_502,"dea is that this   area is involved in relational encoding (forming   links between items or between an item and its   context). Murray and Ranganath (2007) carried   out a study in which unrelated word pairs were   presented. In one condition, the task involved   a comparison between the two words",Explores how awareness influences cognition.,"memory, emotion, recognition",Nested under Chapter on recognition,Observed data trends suggest strong effect in memory,Aligned with contemporary studies on attention,Used in agent decision-making systems for adaptive learning.,Related to Segment_545,"dea is that this 

area is involved in relational encoding (forming 

links between items or between an item and its 

context). Murray and Ranganath (2007) carried 

out a study in which unrelated word pairs were 

presented. In one condition, the task involved 

a comparison between the two words (relational 

encoding) and in the other it did not (item-

speci˚
 c encoding). Activation of the dorsolateral 
prefrontal cortex was greater during relational 

than item-speci˚ c encoding. More importantly, 

the amount of dorsolateral activity at encoding 

predicted successful performance on a recogni-

tion test of relational memory.
Another possible role of dorsolateral pre-
frontal cortex in memory is to evaluate the 
relevance of retrieved information to current task 

requirements (known as post-retrieval monitor-

ing). The more information that is retrieved, 

the more likely the individual will engage in 

monitoring. Achim and Lepage (2005) manipu-

lated the amount of information likely to be 

retrieved in two recognition-memory tests. As 

predicted, activity within the dorsolateral pre-

frontal cortex was greater when there was more  

demand for post-retrieval monitoring.
In sum, dorsolateral prefrontal cortex plays 
a role at encoding and at retrieval. First, it is 

involved in relational encoding at the time of 

learning. Second, it is involved in post-retrieval 

monitoring at the time of retrieval. In general 

terms, dorsolateral prefrontal cortex is often 

activated when encoding and/or retrieval is 

relatively complex.
Ventrolateral prefrontal cortex
Badre and Wagner (2007) discussed a two-

process account of the involvement of the 

ventrolateral prefrontal cortex in declarative 

memory. There is a controlled retrieval process 

used to activate goal-relevant knowledge. There 

is also a post-retrieval selection process that 

deals with competition between memory repre-

sentations active at the same time.
Evidence that both of the above"
Segment_503,"processes  involve the ventrolateral prefrontal cortex was   reported by Badre, Poldrack, Pare-Blagoev,   Insler, and Wagner (2005). A cue word and   two or four target words were presented on   each trial, and the task was to decide which   target word was semantically related to the cue   word. I",Explores how perception influences cognition.,"awareness, memory, emotion",Nested under Chapter on emotion,Observed data trends suggest strong effect in emotion,Aligned with contemporary studies on perception,Used in agent decision-making systems for adaptive learning.,Related to Segment_42," processes 
involve the ventrolateral prefrontal cortex was 

reported by Badre, Poldrack, Pare-Blagoev, 

Insler, and Wagner (2005). A cue word and 

two or four target words were presented on 

each trial, and the task was to decide which 

target word was semantically related to the cue 

word. It was assumed that the controlled 

retrieval process would be involved when the 

target word was only weakly associated with 

the cue (e.g., cue 
=
 candle; target word 
=
 halo). 
It was also assumed that the post-retrieval 

selection process would be needed when one of  

the incorrect target words was non-semantically 

associated with the cue word (e.g., cue 
=
 ivy; 

incorrect target word 
=
 league). As predicted, 

there was increased activation within the 

ventrolateral prefrontal cortex when the task 

required the use of controlled retrieval or post-

retrieval selection.
9781841695402_4_007.indd   283
9781841695402_4_007.indd   283
12/21/09   2:17:51 PM

12/21/09   2:17:51 PM

284
 COGNITIVE PSYCHOLOGY: A STUDENT™S HANDBOOK
lives. The memories recalled were less vivid 
and contained less detail than those of healthy 

controls. However, the same patients performed 

normally when they were probed for speci˚
 c 
details of their memories.
Cabeza (2008) explained this and other 
˚
 ndings in his dual attentional processes hypo-
thesis. According to this hypothesis, ventral 

parietal cortex is associated with bottom-up 

attentional processes captured by the retrieval 

output. These attentional processes were dam-

aged in the patients studied by Berryhill et al. 

(2007). In contrast, dorsal parietal cortex is 

associated with top-down attentional processes 

in˜
 uenced by retrieval goals. The hypothesis 
is supported by two ˚ ndings (see Cabeza, 2008, 

for a review):
There is greater ventral parietal activation 
(1) 
when memory performance is high due 

to greater capture of bottom-up attention 

by relevant stimuli.

There is greater dorsal parietal"
Segment_504,"activation  (2)  when memory performance is low due to   greater demands on top-down attention. Evaluation Considerable progress has been made in under-  standing the involvement of different brain areas   in the major memory systems. The ˚  ndings  Kuhl, Kahn, Dudukovic, and Wagner (2008)  studied",Explores how attention influences cognition.,"perception, emotion, memory",Nested under Chapter on memory,Observed data trends suggest strong effect in awareness,Aligned with contemporary studies on awareness,Used in agent decision-making systems for adaptive learning.,Related to Segment_212," activation 
(2) 
when memory performance is low due to 

greater demands on top-down attention.
Evaluation
Considerable progress has been made in under-

standing the involvement of different brain areas 

in the major memory systems. The ˚
 ndings 
Kuhl, Kahn, Dudukovic, and Wagner (2008) 
studied the post-retrieval selection process. 

There was activation of the right ventrolateral 

prefrontal cortex and the anterior cingulate 

when memories that had previously been selected  

against were successfully retrieved. It was 

assumed that an effective post-retrieval selection 

process was needed to permit previously selected-

against memories to be retrieved.
Parietal lobes
What is the involvement of the parietal lobes 

in long-term memory? Simons et al. (2008) 

carried out a meta-analysis of functional neuro-

imaging studies on episodic memory in which 

brain activation was assessed during successful 

recollection of the context in which events had 

occurred. Lateral and medial areas within the 

parietal lobes were more consistently activated 

than any other areas in the entire brain (see 

Figure 7.12).
The picture seems to be very different when 
we consider patients with damage to the parietal 

lobes. For the most part, these patients do not 

seem to have severe episodic memory de˚
 cits 
(see Cabeza, 2008, for a review). However, 

some de˚
 cits have been found in such patients. 
In one study (Berryhill, Phuong, Picasso, Cabeza, 

& Olson, 2007), patients with ventral parietal 

damage freely recalled events from their own 
100
90
80

70

60

50

40

30

20

10
0
Percentage of fMRI studies showing activation
APFCVLPFCDLPFCThalamusMTLLateral
parietal
Medial
parietal
Figure 7.12 
Percentages of 
fMRI studies of episodic 
memory sho
wing activation 
in various brain regions. 

APFC 
=
 anterior prefrontal 
cortex; VLPFC 
=
 ventrolateral  
prefrontal cortex; DLPFC 
=
 

dorsolateral prefrontal cortex; 

MTL 
=
 medial temporal lobe. 
Reprinted from"
